n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
9,0.246914,45.800000,2.600000,45.800000,2.600000
9,0.259259,40.500000,2.500000,40.500000,2.500000
9,0.271605,140.666667,2.666667,140.666667,2.666667
9,0.283951,13.000000,2.500000,13.000000,2.500000
9,0.296296,26.666667,1.000000,26.666667,1.000000
9,0.308642,0.000000,0.000000,0.000000,0.000000
9,0.320988,9.000000,1.000000,9.000000,1.000000
9,0.333333,8.000000,4.000000,8.000000,4.000000
9,0.345679,0.000000,0.000000,0.000000,0.000000
9,0.358025,8.000000,1.000000,8.000000,1.000000
9,0.370370,66.000000,1.000000,66.000000,1.000000
9,0.382716,0.000000,0.000000,0.000000,0.000000
9,0.395062,44.000000,4.000000,44.000000,4.000000
9,0.407407,0.000000,0.000000,0.000000,0.000000
9,0.419753,18.000000,1.000000,18.000000,1.000000
9,0.432099,0.000000,0.000000,0.000000,0.000000
9,0.444444,2.000000,1.000000,2.000000,1.000000
9,0.456790,0.000000,0.000000,0.000000,0.000000
9,0.469136,0.000000,0.000000,0.000000,0.000000
9,0.481481,0.000000,0.000000,0.000000,0.000000
9,0.493827,0.000000,0.000000,0.000000,0.000000
9,0.506173,0.000000,0.000000,0.000000,0.000000
9,0.518519,0.000000,0.000000,0.000000,0.000000
9,0.530864,0.000000,0.000000,0.000000,0.000000
9,0.543210,0.000000,0.000000,0.000000,0.000000
9,0.555556,0.000000,0.000000,0.000000,0.000000
9,0.567901,0.000000,0.000000,0.000000,0.000000
9,0.580247,0.000000,0.000000,0.000000,0.000000
9,0.592593,0.000000,0.000000,0.000000,0.000000
9,0.604938,0.000000,0.000000,0.000000,0.000000
9,0.617284,0.000000,0.000000,0.000000,0.000000
9,0.629630,0.000000,0.000000,0.000000,0.000000
9,0.641975,0.000000,0.000000,0.000000,0.000000
9,0.654321,0.000000,0.000000,0.000000,0.000000
9,0.666667,0.000000,0.000000,0.000000,0.000000
9,0.679012,0.000000,0.000000,0.000000,0.000000
9,0.691358,0.000000,0.000000,0.000000,0.000000
9,0.703704,0.000000,0.000000,0.000000,0.000000
9,0.716049,0.000000,0.000000,0.000000,0.000000
9,0.728395,0.000000,0.000000,0.000000,0.000000
9,0.740741,0.000000,0.000000,0.000000,0.000000
9,0.753086,0.000000,0.000000,0.000000,0.000000
9,0.765432,0.000000,0.000000,0.000000,0.000000
9,0.777778,0.000000,0.000000,0.000000,0.000000
9,0.790123,0.000000,0.000000,0.000000,0.000000
9,0.802469,0.000000,0.000000,0.000000,0.000000
